"Name","TeamAbbreviation","GamesPlayed","Minutes","Turnovers","LiveBallTurnovers","DeadBallTurnovers","LiveBallTurnoverPct","LostBallTurnovers","LostBallOutOfBoundsTurnovers","BadPassTurnovers","BadPassOutOfBoundsTurnovers","Travels","3SecondViolations","StepOutOfBoundsTurnovers","OffensiveGoaltends"
"Giannis Antetokounmpo","MIL",67,2047,5.481283422459893,2.072192513368984,3.409090909090909,0.3780487804878049,1.1586452762923352,0.22281639928698752,0.9135472370766489,0.5793226381461676,0.6907308377896613,0.11140819964349376,0.06684491978609626,0.022281639928698752
"Khris Middleton","MIL",66,1978,3.5250463821892395,2.1567717996289426,1.3682745825602969,0.6118421052631579,0.8116883116883117,0.1391465677179963,1.3450834879406308,0.44063079777365494,0.16233766233766234,0,0.023191094619666047,0
"Brook Lopez","MIL",72,1941,1.768033946251768,0.6129184347006129,1.155115511551155,0.3466666666666667,0.16501650165016502,0.023573785950023574,0.4479019330504479,0.14144271570014144,0.3771805752003772,0.04714757190004715,0,0
"Eric Bledsoe","MIL",65,1749,4.12558380902958,2.361183186299948,1.7644006227296316,0.5723270440251572,0.8822003113648158,0.1816294758692268,1.4789828749351324,0.6227296315516346,0.1816294758692268,0,0.02594706798131811,0
"Wesley Matthews","MIL",71,1729,1.192368839427663,0.688924218335983,0.5034446210916799,0.5777777777777777,0.3179650238473768,0.10598834128245893,0.37095919448860626,0.18547959724430313,0.10598834128245893,0,0,0
"Donte DiVincenzo","MIL",70,1575,2.742923840093376,1.4881820834549169,1.2547417566384593,0.5425531914893617,0.5252407353370294,0.17508024511234316,0.9629413481178873,0.49606069448497225,0.14590020426028597,0,0.08754012255617158,0
"George Hill","MIL",63,1360,2.1784232365145226,1.3485477178423237,0.8298755186721992,0.6190476190476191,0.38035961272475793,0.17289073305670816,0.9681881051175657,0.17289073305670816,0.13831258644536654,0,0.1037344398340249,0
"Pat Connaughton","MIL",71,1331,1.884159106769016,1.2212142358688067,0.6629448709002094,0.6481481481481481,0.5233775296580601,0.13956734124214934,0.6978367062107467,0.2791346824842987,0.034891835310537335,0,0.06978367062107467,0.034891835310537335
"Kyle Korver","MIL",62,1023,2.255639097744361,1.0614772224679345,1.1941618752764263,0.47058823529411764,0.26536930561698363,0.044228217602830605,0.796107916850951,0.44228217602830605,0.26536930561698363,0,0.08845643520566121,0
"Ersan Ilyasova","MIL",65,997,1.566820276497696,1.0138248847926268,0.5529953917050692,0.6470588235294118,0.18433179723502305,0,0.8294930875576036,0.09216589861751152,0.1382488479262673,0,0.04608294930875576,0
"Robin Lopez","MIL",69,979,3.014354066985646,0.861244019138756,2.15311004784689,0.2857142857142857,0.4784688995215311,0.09569377990430622,0.3827751196172249,0.09569377990430622,0.430622009569378,0.14354066985645933,0.09569377990430622,0.04784688995215311
"Sterling Brown","MIL",53,770,2.498512790005949,1.48720999405116,1.011302795954789,0.5952380952380952,0.4164187983343248,0.1189767995240928,1.0707911957168352,0.17846519928613921,0.2379535990481856,0,0,0
"Marvin Williams","MIL",21,375,1.2515644555694618,0.6257822277847309,0.6257822277847309,0.5,0.2503128911138924,0,0.37546933667083854,0.1251564455569462,0,0,0,0.1251564455569462
"D.J. Wilson","MIL",37,363,2.3959646910466583,0.7566204287515763,1.639344262295082,0.3157894736842105,0.12610340479192939,0.25220680958385877,0.6305170239596469,0.12610340479192939,0.7566204287515763,0,0.12610340479192939,0
"Thanasis Antetokounmpo","MIL",20,129,4.2105263157894735,1.7543859649122806,2.456140350877193,0.4166666666666667,0.7017543859649122,0,1.0526315789473684,0.7017543859649122,0,0,0.3508771929824561,0
"Frank Mason","MIL",10,118,4.166666666666667,2.6515151515151514,1.5151515151515151,0.6363636363636364,1.893939393939394,0,0.7575757575757576,0.7575757575757576,0.3787878787878788,0,0,0
"Dragan Bender","MIL",7,91,2.5380710659898478,1.5228426395939085,1.015228426395939,0.6,0.5076142131979695,0,1.015228426395939,1.015228426395939,0,0,0,0
