"Name","TeamAbbreviation","GamesPlayed","Minutes","PenaltyOffPoss","PenaltyOffPossPct","PenaltyPoints","PenaltyPointsPct","PenaltyFG2M","PenaltyFG2A","PenaltyFg2Pct","PenaltyFG3M","PenaltyFG3A","PenaltyFg3Pct","PenaltyFtPoints","PenaltyEfgPct","PenaltyTsPct","PenaltyShotQualityAvg","PenaltyAtRimFGM","PenaltyAtRimFGA","PenaltyAtRimFrequency","PenaltyAtRimAccuracy","PenaltyCorner3FGM","PenaltyCorner3FGA","PenaltyCorner3Frequency","PenaltyCorner3Accuracy","PenaltyArc3FGM","PenaltyArc3FGA","PenaltyArc3Frequency","PenaltyArc3Accuracy","PenaltyTurnovers","PenaltyOffPossExcludingTakeFouls","PenaltyPointsExcludingTakeFouls"
"Devonte' Graham","CHA",63,2211,1151,0.26182893539581437,31.624674196351,0.3179039301310044,3.5621198957428324,8.94874022589053,0.39805825242718446,5.039096437880104,14.074717636837532,0.35802469135802467,9.383145091225021,0.4830188679245283,0.562111801242236,0.47737068965517243,2.0851433536055604,4.083405734144223,0.17735849056603772,0.5106382978723404,0.43440486533449174,0.8688097306689835,0.03773584905660377,0.5,4.604691572545613,13.20590790616855,0.5735849056603773,0.34868421052631576,3.909643788010426,1127,31.49955634427684
"Terry Rozier","CHA",63,2164,987,0.229802095459837,24.620060790273556,0.21428571428571427,4.154002026342452,9.422492401215806,0.44086021505376344,3.3434650455927053,10.030395136778116,0.3333333333333333,6.281661600810537,0.4713541666666667,0.53125,0.4913887434554974,2.9381965552178317,4.5592705167173255,0.234375,0.6444444444444445,0.5065856129685917,0.9118541033434651,0.046875,0.5555555555555556,2.8368794326241136,9.118541033434651,0.46875,0.3111111111111111,3.1408308004052685,966,23.08488612836439
"Miles Bridges","CHA",65,1995,802,0.2032953105196451,23.316708229426435,0.22182680901542112,5.112219451371571,11.221945137157107,0.45555555555555555,2.6184538653366585,7.855361596009975,0.3333333333333333,5.236907730673317,0.4738562091503268,0.5342857142857143,0.5251721854304636,3.7406483790523692,6.483790523690773,0.33986928104575165,0.5769230769230769,1.371571072319202,3.117206982543641,0.16339869281045752,0.44,1.2468827930174564,4.738154613466334,0.24836601307189543,0.2631578947368421,1.371571072319202,788,22.33502538071066
"P.J. Washington","CHA",58,1759,701,0.2001713306681896,21.255349500713265,0.20985915492957746,5.420827389443652,9.27246790299572,0.5846153846153846,2.1398002853067046,5.420827389443652,0.39473684210526316,3.9942938659058487,0.587378640776699,0.6157024793388429,0.5300966019417476,4.56490727532097,6.562054208273895,0.44660194174757284,0.6956521739130435,0.9985734664764622,1.7118402282453637,0.11650485436893204,0.5833333333333334,1.1412268188302426,3.708987161198288,0.2524271844660194,0.3076923076923077,2.5677603423680457,679,21.649484536082475
"Cody Zeller","CHA",58,1341,631,0.23615269461077845,26.624405705229794,0.2616822429906542,9.033280507131538,13.787638668779715,0.6551724137931034,0.6339144215530903,2.535657686212361,0.25,6.6561014263074485,0.6116504854368932,0.6412213740458015,0.5528446601941748,7.606973058637084,11.09350237717908,0.6796116504854369,0.6857142857142857,0.15847860538827258,0.31695721077654515,0.019417475728155338,0.5,0.4754358161648177,2.218700475435816,0.13592233009708737,0.21428571428571427,3.011093502377179,629,26.70906200317965
"Malik Monk","CHA",55,1169,733,0.31125265392781315,26.46657571623465,0.34397163120567376,6.8212824010914055,12.824010914051842,0.5319148936170213,2.8649386084583903,9.276944065484312,0.3088235294117647,4.229195088676671,0.5030864197530864,0.5418994413407822,0.511095283018868,4.774897680763984,7.91268758526603,0.35802469135802467,0.603448275862069,0.1364256480218281,1.6371077762619373,0.07407407407407407,0.08333333333333333,2.728512960436562,7.639836289222374,0.345679012345679,0.35714285714285715,2.1828103683492497,726,26.72176308539945
"Bismack Biyombo","CHA",53,1029,386,0.1927109335996006,21.502590673575128,0.21119592875318066,5.958549222797927,10.362694300518134,0.575,0,0,0,9.585492227979275,0.575,0.5845070422535211,0.5316275,4.922279792746114,7.253886010362694,0.7,0.6785714285714286,0,0,0,0,0,0,0,0,2.0725388601036268,380,21.842105263157894
"Cody Martin","CHA",48,903,665,0.37026726057906456,10.676691729323307,0.29831932773109243,3.308270676691729,5.56390977443609,0.5945945945945946,0.45112781954887216,3.4586466165413534,0.13043478260869565,2.706766917293233,0.44166666666666665,0.4930555555555556,0.5583791666666666,3.308270676691729,4.81203007518797,0.5333333333333333,0.6875,0,1.2030075187969924,0.13333333333333333,0,0.45112781954887216,2.255639097744361,0.25,0.2,2.857142857142857,658,10.790273556231003
"Marvin Williams","CHA",41,808,505,0.3098159509202454,18.415841584158414,0.3381818181818182,2.376237623762376,4.9504950495049505,0.48,2.772277227722772,7.326732673267327,0.3783783783783784,5.346534653465347,0.532258064516129,0.6118421052631579,0.5016064516129032,1.386138613861386,1.5841584158415842,0.12903225806451613,0.875,1.188118811881188,1.7821782178217822,0.14516129032258066,0.6666666666666666,1.5841584158415842,5.544554455445544,0.45161290322580644,0.2857142857142857,0.9900990099009901,493,18.864097363083165
"Dwayne Bacon","CHA",39,687,341,0.24836125273124546,14.662756598240469,0.22321428571428573,4.39882697947214,9.970674486803519,0.4411764705882353,1.1730205278592376,5.571847507331379,0.21052631578947367,2.346041055718475,0.39622641509433965,0.43859649122807015,0.5002009615384615,2.346041055718475,5.278592375366569,0.33962264150943394,0.4444444444444444,0.2932551319648094,0.8797653958944281,0.05660377358490566,0.3333333333333333,0.8797653958944281,4.69208211143695,0.3018867924528302,0.1875,2.0527859237536656,338,14.792899408284024
