"Name","TeamAbbreviation","GamesPlayed","Minutes","PenaltyOffPoss","PenaltyOffPossPct","PenaltyPoints","PenaltyPointsPct","PenaltyFG2M","PenaltyFG2A","PenaltyFg2Pct","PenaltyFG3M","PenaltyFG3A","PenaltyFg3Pct","PenaltyFtPoints","PenaltyEfgPct","PenaltyTsPct","PenaltyShotQualityAvg","PenaltyAtRimFGM","PenaltyAtRimFGA","PenaltyAtRimFrequency","PenaltyAtRimAccuracy","PenaltyCorner3FGM","PenaltyCorner3FGA","PenaltyCorner3Frequency","PenaltyCorner3Accuracy","PenaltyArc3FGM","PenaltyArc3FGA","PenaltyArc3Frequency","PenaltyArc3Accuracy","PenaltyTurnovers","PenaltyOffPossExcludingTakeFouls","PenaltyPointsExcludingTakeFouls"
"Dorian Finney-Smith","DAL",76,2274,1192,0.2563440860215054,15.35234899328859,0.25311203319502074,2.0134228187919465,4.614093959731544,0.43636363636363634,3.0201342281879193,7.466442953020135,0.4044943820224719,2.2651006711409396,0.5416666666666666,0.5613496932515337,0.558486013986014,1.929530201342282,3.859060402684564,0.3194444444444444,0.5,2.0134228187919465,3.942953020134228,0.3263888888888889,0.5106382978723404,1.0067114093959733,3.523489932885906,0.2916666666666667,0.2857142857142857,1.4261744966442953,1180,15.169491525423728
"Tim Hardaway Jr.","DAL",76,2262,1390,0.29436679373146973,26.0431654676259,0.29720853858784896,3.6690647482014387,7.985611510791367,0.4594594594594595,4.388489208633094,12.014388489208633,0.3652694610778443,5.539568345323741,0.512589928057554,0.5628930817610063,0.5086614545454545,1.9424460431654675,3.884892086330935,0.19424460431654678,0.5,1.3669064748201438,2.7338129496402876,0.1366906474820144,0.5,3.0215827338129495,9.280575539568344,0.46402877697841727,0.32558139534883723,1.223021582733813,1374,26.055312954876275
"Luka Doncic","DAL",66,2220,1463,0.31659813893096733,44.83937115516063,0.34399580492920817,9.569377990430622,16.19958988380041,0.5907172995780591,3.827751196172249,13.602187286397813,0.2814070351758794,14.217361585782639,0.5137614678899083,0.5839285714285715,0.4906232941176471,6.561859193438141,9.090909090909092,0.30504587155963303,0.7218045112781954,0,0.2050580997949419,0.006880733944954129,0,3.827751196172249,13.397129186602871,0.44954128440366975,0.2857142857142857,6.151742993848257,1446,45.22821576763486
"Maxi Kleber","DAL",79,2057,1379,0.3248527679623086,12.762871646120377,0.2503556187766714,2.4655547498187094,4.423495286439449,0.5573770491803278,1.7403915881073242,5.946337926033357,0.2926829268292683,2.610587382160986,0.48951048951048953,0.5365853658536586,0.5452307692307693,2.102973168963017,3.625815808556925,0.34965034965034963,0.58,0.9427121102248006,2.828136330674402,0.2727272727272727,0.3333333333333333,0.7976794778825236,3.118201595358956,0.3006993006993007,0.2558139534883721,1.160261058738216,1363,12.912692589875276
"Kristaps Porzingis","DAL",60,1908,1053,0.2645064054257724,30.67426400759734,0.26153846153846155,6.4577397910731245,12.345679012345679,0.5230769230769231,2.6590693257359925,8.641975308641975,0.3076923076923077,9.781576448243115,0.497737556561086,0.5797101449275363,0.5017018433179723,4.273504273504273,5.7929724596391265,0.27601809954751133,0.7377049180327869,0.0949667616334283,0.2849002849002849,0.013574660633484163,0.3333333333333333,2.5641025641025643,8.35707502374169,0.39819004524886875,0.3068181818181818,2.184235517568851,1044,30.74712643678161
"Seth Curry","DAL",69,1720,1065,0.29865395401009537,23.568075117370892,0.2908458864426419,3.568075117370892,7.042253521126761,0.5066666666666667,4.225352112676056,8.732394366197184,0.4838709677419355,3.755868544600939,0.6279761904761905,0.648936170212766,0.4982805389221557,1.2206572769953052,2.2535211267605635,0.14285714285714285,0.5416666666666666,0.9389671361502347,2.2535211267605635,0.14285714285714285,0.4166666666666667,3.2863849765258215,6.47887323943662,0.4107142857142857,0.5072463768115942,1.2206572769953052,1053,23.266856600189932
"Delon Wright","DAL",77,1623,1025,0.30651913875598086,15.21951219512195,0.3,4.097560975609756,7.902439024390244,0.5185185185185185,0.975609756097561,3.902439024390244,0.25,4.097560975609756,0.47107438016528924,0.5379310344827586,0.500881779661017,3.024390243902439,5.2682926829268295,0.4462809917355372,0.5740740740740741,0.3902439024390244,0.5853658536585366,0.049586776859504134,0.6666666666666666,0.5853658536585366,3.317073170731707,0.2809917355371901,0.17647058823529413,1.4634146341463414,1022,15.264187866927593
"Dwight Powell","DAL",40,1061,445,0.20659238625812443,18.426966292134832,0.21808510638297873,6.067415730337078,8.089887640449438,0.75,0,0.449438202247191,0,6.292134831460674,0.7105263157894737,0.7321428571428571,0.596625,5.842696629213483,7.640449438202247,0.8947368421052632,0.7647058823529411,0,0,0,0,0,0.449438202247191,0.05263157894736842,0,2.4719101123595504,443,18.510158013544018
"Justin Jackson","DAL",67,1059,610,0.2803308823529412,16.721311475409838,0.2809917355371901,2.622950819672131,6.229508196721311,0.42105263157894735,2.7868852459016393,7.540983606557377,0.3695652173913043,3.1147540983606556,0.49404761904761907,0.5368421052631579,0.5081644578313252,1.3114754098360655,2.622950819672131,0.19047619047619047,0.5,0.4918032786885246,2.1311475409836067,0.15476190476190477,0.23076923076923078,2.2950819672131146,5.409836065573771,0.39285714285714285,0.42424242424242425,0.9836065573770492,607,16.803953871499175
"Jalen Brunson","DAL",57,1022,506,0.24245328222328702,23.715415019762847,0.2575107296137339,6.324110671936759,11.857707509881424,0.5333333333333333,1.383399209486166,4.3478260869565215,0.3181818181818182,6.91699604743083,0.5182926829268293,0.594059405940594,0.4429176829268292,2.569169960474308,4.150197628458498,0.25609756097560976,0.6190476190476191,0.1976284584980237,0.9881422924901185,0.06097560975609756,0.2,1.1857707509881423,3.3596837944664033,0.2073170731707317,0.35294117647058826,4.545454545454546,500,23.2
"Boban Marjanovic","DAL",46,487,285,0.28471528471528473,27.017543859649123,0.2391304347826087,9.824561403508772,17.894736842105264,0.5490196078431373,0.7017543859649122,3.508771929824561,0.2,5.2631578947368425,0.5081967213114754,0.5422535211267606,0.47831393442622955,6.315789473684211,9.473684210526315,0.4426229508196721,0.6666666666666666,0,0,0,0,0.7017543859649122,3.508771929824561,0.16393442622950818,0.2,2.807017543859649,285,27.017543859649123
